date,code,market_cap,volume,trade_value,shares
20210115,000060,1797312500000,464413,6926584350,120625000
20210118,000060,1743031250000,313963,4574566750,120625000
20210119,000060,1773187500000,340999,5024642750,120625000
20210120,000060,1785250000000,292242,4319037350,120625000
20210121,000060,1845562500000,602210,9139817350,120625000
20210122,000060,1833500000000,318540,4827384450,120625000
20210125,000060,1911906250000,978548,15306795250,120625000
20210126,000060,1923968750000,488952,7728356150,120625000
20210127,000060,1930000000000,447317,7154866850,120625000
20210128,000060,1954125000000,469344,7502227200,120625000
20210129,000060,1911906250000,769460,12331546400,120625000
20210201,000060,1797312500000,1152343,17482748800,120625000
20210202,000060,1833500000000,498196,7607943000,120625000
20210203,000060,1791281250000,727831,10943499800,120625000
20210204,000060,1755093750000,814072,11879823300,120625000
20210205,000060,1749062500000,896322,12992324800,120625000
20210208,000060,1791281250000,655208,9731742500,120625000
20210209,000060,1797312500000,638588,9554725150,120625000
20210210,000060,1815406250000,344599,5162362250,120625000
20210215,000060,1815406250000,209204,3143215750,120625000
20210216,000060,1797312500000,261654,3904074000,120625000
20210217,000060,1815406250000,344140,5130078150,120625000
20210218,000060,1803343750000,209089,3148552500,120625000
20210219,000060,1809375000000,353566,5252431900,120625000
20210222,000060,1893812500000,1271128,19909543550,120625000
20210223,000060,1930000000000,769746,12297869950,120625000
20210224,000060,1881750000000,760250,12100478600,120625000
20210225,000060,1923968750000,315622,5020146900,120625000
20210226,000060,1942062500000,679141,10832445600,120625000
20210302,000060,2002375000000,807143,13267464650,120625000
20210303,000060,2050625000000,1048157,17738336050,120625000
20210304,000060,2020468750000,490720,8244227650,120625000
20210305,000060,2056656250000,1233139,21239643850,120625000
20210308,000060,2135062500000,1619450,28716870350,120625000
20210309,000060,2171250000000,847979,15249493050,120625000
20210310,000060,2165218750000,603186,10691100950,120625000
20210311,000060,2195375000000,439687,7978124000,120625000
20210312,000060,2147125000000,449834,8037973900,120625000
20210315,000060,2177281250000,318435,5756861800,120625000
20210316,000060,2237593750000,377241,6926197850,120625000
20210317,000060,2225531250000,470374,8611215550,120625000
20210318,000060,2171250000000,513183,9297820000,120625000
20210319,000060,2171250000000,471742,8498662700,120625000
20210322,000060,2177281250000,390921,7039978900,120625000
20210323,000060,2177281250000,294720,5299643350,120625000
20210324,000060,2147125000000,332627,5930239200,120625000
20210325,000060,2141093750000,434003,7739561300,120625000
20210326,000060,2141093750000,331764,5891685200,120625000
20210329,000060,2153156250000,261478,4650873800,120625000
20210330,000060,2219500000000,462000,8411166950,120625000
20210331,000060,2334093750000,955676,18304264950,120625000
20210401,000060,2340125000000,356106,6887994800,120625000
20210402,000060,2291875000000,363416,6892569900,120625000
20210405,000060,2291875000000,261258,4947247550,120625000
20210406,000060,2279812500000,150746,2848422700,120625000
20210407,000060,2316000000000,249662,4765749700,120625000
20210408,000060,2249656250000,291004,5456533550,120625000
20210409,000060,2237593750000,159447,2956859650,120625000
