timestamp,kospi,kosdaq
2026-09-22T10:45:05,7114.74,843.28
2026-09-22T10:55:07,7120.00,843.39
2026-09-22T11:05:07,7130.33,843.73
2026-09-22T11:15:07,7115.56,842.42
2026-09-22T11:25:05,7125.72,842.50
2026-09-22T11:35:06,7122.49,842.00
2026-09-22T11:45:05,7134.38,842.99
2026-09-22T11:55:07,7132.64,842.99
2026-09-22T12:05:05,7137.01,842.64
2026-09-22T12:15:05,7134.21,842.56
2026-09-22T12:25:05,7138.57,843.16
2026-09-22T12:35:06,7134.85,842.91
2026-09-22T12:45:07,7129.53,842.80
2026-09-22T12:55:05,7121.22,841.63
2026-09-22T13:05:05,7117.77,839.70
2026-09-22T13:15:07,7092.47,837.82
2026-09-22T13:25:05,7087.74,838.43
2026-09-22T13:35:06,7078.80,837.74
2026-09-22T13:45:05,7069.08,836.67
2026-09-22T13:55:06,7049.84,835.24
2026-09-22T14:05:07,7050.55,835.62
2026-09-22T14:15:05,7041.47,835.60
2026-09-22T14:25:05,7003.64,832.12
2026-09-22T14:35:06,7004.06,832.52
2026-09-22T14:45:05,7009.85,833.95
2026-09-22T14:55:07,7040.17,835.58
2026-09-22T15:05:06,7019.20,835.03
2026-09-22T15:15:09,7030.56,834.50
2026-09-22T15:25:05,7025.71,834.65
