timestamp,mode,code,name,action,reason
2026-09-02T10:45:07,real,052460,아이크래프트,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 8610 대비 -44.1%, 저점 4610 대비 반등 +4.3%, 현재가 4810)"
2026-09-02T10:45:08,real,033160,엠케이전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 19350 대비 -24.7%, 저점 12820 대비 반등 +13.7%, 현재가 14570)"
2026-09-02T10:45:09,real,210120,캔버스엔,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 2200 대비 -18.9%, 저점 1706 대비 반등 +4.6%, 현재가 1785)"
2026-09-02T10:45:11,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -19.5%, 저점 4035 대비 반등 +9.3%, 현재가 4410)"
2026-09-02T10:45:12,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -15.3%, 저점 3330 대비 반등 +26.4%, 현재가 4210)"
2026-09-02T10:55:07,real,052460,아이크래프트,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 8610 대비 -44.3%, 저점 4610 대비 반등 +4.1%, 현재가 4800)"
2026-09-02T10:55:08,real,033160,엠케이전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 19350 대비 -25.2%, 저점 12820 대비 반등 +12.9%, 현재가 14470)"
2026-09-02T10:55:09,real,210120,캔버스엔,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 2200 대비 -16.5%, 저점 1706 대비 반등 +7.7%, 현재가 1838)"
2026-09-02T10:55:11,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -18.8%, 저점 4035 대비 반등 +10.3%, 현재가 4450)"
2026-09-02T10:55:12,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -17.0%, 저점 3330 대비 반등 +23.9%, 현재가 4125)"
2026-09-02T11:05:07,real,052460,아이크래프트,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 8610 대비 -43.9%, 저점 4610 대비 반등 +4.8%, 현재가 4830)"
